Date,Event,OS,"Feb 13 2023, 12:00AM - Apr 6 2023, 11:59PM"
2023-02-13,App Session - DAU,Android,0
2023-02-13,App Session - DAU,iOS,0
2023-02-14,App Session - DAU,Android,0
2023-02-14,App Session - DAU,iOS,0
2023-02-15,App Session - DAU,Android,1
2023-02-15,App Session - DAU,iOS,1
2023-02-16,App Session - DAU,Android,1
2023-02-16,App Session - DAU,iOS,1
2023-02-17,App Session - DAU,Android,1
2023-02-17,App Session - DAU,iOS,1
2023-02-18,App Session - DAU,Android,0
2023-02-18,App Session - DAU,iOS,1
2023-02-19,App Session - DAU,Android,1
2023-02-19,App Session - DAU,iOS,1
2023-02-20,App Session - DAU,Android,1
2023-02-20,App Session - DAU,iOS,1
2023-02-21,App Session - DAU,Android,2
2023-02-21,App Session - DAU,iOS,2
2023-02-22,App Session - DAU,Android,2
2023-02-22,App Session - DAU,iOS,2
2023-02-23,App Session - DAU,Android,3
2023-02-23,App Session - DAU,iOS,1
2023-02-24,App Session - DAU,Android,4
2023-02-24,App Session - DAU,iOS,2
2023-02-25,App Session - DAU,Android,2
2023-02-25,App Session - DAU,iOS,2
2023-02-26,App Session - DAU,Android,3
2023-02-26,App Session - DAU,iOS,2
2023-02-27,App Session - DAU,Android,6
2023-02-27,App Session - DAU,iOS,2
2023-02-28,App Session - DAU,Android,5
2023-02-28,App Session - DAU,iOS,1
2023-03-01,App Session - DAU,Android,5
2023-03-01,App Session - DAU,iOS,2
2023-03-02,App Session - DAU,Android,6
2023-03-02,App Session - DAU,iOS,2
2023-03-03,App Session - DAU,Android,5
2023-03-03,App Session - DAU,iOS,4
2023-03-04,App Session - DAU,Android,5
2023-03-04,App Session - DAU,iOS,3
2023-03-05,App Session - DAU,Android,5
2023-03-05,App Session - DAU,iOS,4
2023-03-06,App Session - DAU,Android,6
2023-03-06,App Session - DAU,iOS,3
2023-03-07,App Session - DAU,Android,9
2023-03-07,App Session - DAU,iOS,3
2023-03-08,App Session - DAU,Android,6
2023-03-08,App Session - DAU,iOS,2
2023-03-09,App Session - DAU,Android,7
2023-03-09,App Session - DAU,iOS,3
2023-03-10,App Session - DAU,Android,7
2023-03-10,App Session - DAU,iOS,5
2023-03-11,App Session - DAU,Android,7
2023-03-11,App Session - DAU,iOS,5
2023-03-12,App Session - DAU,Android,6
2023-03-12,App Session - DAU,iOS,4
2023-03-13,App Session - DAU,Android,6
2023-03-13,App Session - DAU,iOS,2
2023-03-14,App Session - DAU,Android,7
2023-03-14,App Session - DAU,iOS,7
2023-03-15,App Session - DAU,Android,8
2023-03-15,App Session - DAU,iOS,4
2023-03-16,App Session - DAU,Android,14
2023-03-16,App Session - DAU,iOS,10
2023-03-17,App Session - DAU,Android,10
2023-03-17,App Session - DAU,iOS,12
2023-03-18,App Session - DAU,Android,9
2023-03-18,App Session - DAU,iOS,7
2023-03-19,App Session - DAU,Android,11
2023-03-19,App Session - DAU,iOS,12
2023-03-20,App Session - DAU,Android,12
2023-03-20,App Session - DAU,iOS,6
2023-03-21,App Session - DAU,Android,14
2023-03-21,App Session - DAU,iOS,9
2023-03-22,App Session - DAU,Android,12
2023-03-22,App Session - DAU,iOS,10
2023-03-23,App Session - DAU,Android,11
2023-03-23,App Session - DAU,iOS,9
2023-03-24,App Session - DAU,Android,10
2023-03-24,App Session - DAU,iOS,7
2023-03-25,App Session - DAU,Android,14
2023-03-25,App Session - DAU,iOS,8
2023-03-26,App Session - DAU,Android,12
2023-03-26,App Session - DAU,iOS,10
2023-03-27,App Session - DAU,Android,9
2023-03-27,App Session - DAU,iOS,6
2023-03-28,App Session - DAU,Android,12
2023-03-28,App Session - DAU,iOS,7
2023-03-29,App Session - DAU,Android,12
2023-03-29,App Session - DAU,iOS,8
2023-03-30,App Session - DAU,Android,11
2023-03-30,App Session - DAU,iOS,9
2023-03-31,App Session - DAU,Android,13
2023-03-31,App Session - DAU,iOS,10
2023-04-01,App Session - DAU,Android,15
2023-04-01,App Session - DAU,iOS,13
2023-04-02,App Session - DAU,Android,16
2023-04-02,App Session - DAU,iOS,9
2023-04-03,App Session - DAU,Android,9
2023-04-03,App Session - DAU,iOS,7
2023-04-04,App Session - DAU,Android,11
2023-04-04,App Session - DAU,iOS,6
2023-04-05,App Session - DAU,Android,11
2023-04-05,App Session - DAU,iOS,5
2023-04-06,App Session - DAU,Android,5
2023-04-06,App Session - DAU,iOS,3
