Users,iOS Version,Value
All User Profiles - Total,12.5.6,2
All User Profiles - Total,14.4,1
All User Profiles - Total,14.6,1
All User Profiles - Total,14.7.1,1
All User Profiles - Total,15.3.1,1
All User Profiles - Total,15.4.1,2
All User Profiles - Total,15.5,5
All User Profiles - Total,15.6.1,19
All User Profiles - Total,15.6,5
All User Profiles - Total,15.7.1,3
All User Profiles - Total,15.7.2,1
All User Profiles - Total,15.7.3,2
All User Profiles - Total,15.7,1
All User Profiles - Total,16.0.2,15
All User Profiles - Total,16.0.3,3
All User Profiles - Total,16.0,18
All User Profiles - Total,16.1.1,25
All User Profiles - Total,16.1.2,11
All User Profiles - Total,16.1,10
All User Profiles - Total,16.2,40
All User Profiles - Total,16.3.1,66
All User Profiles - Total,16.3,15
All User Profiles - Total,16.4,2
