Event,Module,"Jan 26 2023, 12:00AM - Feb 2 2023, 12:34PM"
Android,Alerts,15215.019002
Android,Authentication,25481.730009
Android,Car Details,2187.684
Android,Car Health,635.804001
Android,Dashboard,5337.127001
Android,Feedback,3771.682999
Android,Firmware,1286.176
Android,Help,5540.828
Android,Notifications,13.248
Android,Privacy Policy,165.271
Android,Profile,13599.960002
Android,Trip History,310.283001
Android,Walk Through,2135.484
Android,Wallet,530.985998
IOS,Authentication,57628.428
IOS,Car Details,4650.326
IOS,Car Health,204.145
IOS,Dashboard,3392.676
IOS,Firmware,23.181
IOS,Help,14.965
IOS,Live Tracking,4.476
IOS,Privacy Policy,4.021
IOS,Profile,2204.338
IOS,Trip History,61.047
IOS,Wallet,35.21
